id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
462,2,15,7,2826
463,2,15,8,2463
464,2,15,9,9398
465,2,15,10,8134
466,2,15,11,3661
467,2,15,12,10811
468,2,16,1,4937
469,2,16,2,2939
470,2,16,4,8201
471,2,16,5,4815
472,2,16,6,8071
473,2,16,7,8616
474,2,16,8,4068
475,2,16,9,2442
476,2,16,10,5643
477,2,16,12,3011
478,2,17,1,3581
479,2,17,2,2158
480,2,17,3,4651
481,2,17,4,5168
482,2,17,5,3398
483,2,17,6,2422
484,2,17,7,5461
485,2,17,9,7620
486,2,17,10,4391
487,2,17,11,8290
488,2,17,12,8840
489,2,18,2,7153
490,2,18,3,2261
491,2,18,4,4947
492,2,18,6,7870
493,2,18,7,4424
494,2,18,8,8734
495,2,18,9,5284
496,2,18,10,3146
497,2,18,11,2199
498,2,18,12,9333
499,2,19,1,9112
500,2,19,2,6174
501,2,19,3,6506
502,2,19,4,2931
503,2,19,5,7155
504,2,19,6,4534
505,2,19,7,3087
506,2,19,8,2356
507,2,19,9,4495
508,2,19,11,6810
509,2,19,12,5569
510,2,20,1,2100
511,2,20,2,4255
512,2,20,3,4593
513,2,20,5,2136
514,2,20,6,4507
515,2,20,8,7060
516,2,20,9,3095
517,2,20,10,7899
518,2,20,11,4512
519,2,20,12,4734
520,2,21,1,5879
521,2,21,2,3173
522,2,21,3,3831
523,2,21,4,5024
524,2,21,5,7025
525,2,21,6,2954
526,2,21,7,8122
527,2,21,8,4610
528,2,21,10,2050
529,2,21,11,3950
530,2,22,1,5412
531,2,22,3,3025
532,2,22,4,2164
533,2,22,5,4299
534,2,22,7,2184
535,2,22,8,4131
536,2,22,9,7707
537,2,22,10,6631
538,2,22,11,2820
539,2,22,12,14611
540,2,23,1,3769
541,2,23,2,2455
542,2,23,4,7633
543,2,23,5,4056
544,2,23,6,6520
545,2,23,7,6926
546,2,23,8,2762
547,2,23,9,2014
548,2,23,10,4544
549,2,23,12,4670
550,2,24,1,2973
