id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
295,Monday,29,August,3608
296,Monday,29,September,3102
297,Monday,29,October,5181
298,Monday,29,December,3596
299,Monday,30,January,4533
300,Monday,30,March,6374
301,Monday,30,April,6894
302,Monday,30,May,4036
303,Monday,30,June,4341
304,Monday,30,July,6603
305,Monday,30,September,11942
306,Monday,30,October,5884
307,Monday,30,November,12756
308,Monday,30,December,12669
309,Monday,31,March,4435
310,Monday,31,July,7165
311,Monday,31,August,13499
312,Monday,31,October,6776
313,Monday,31,December,9976
314,Tuesday,1,January,2264
315,Tuesday,1,March,5654
316,Tuesday,1,April,4700
317,Tuesday,1,May,3132
318,Tuesday,1,July,4880
319,Tuesday,1,August,7824
320,Tuesday,1,September,14109
321,Tuesday,1,October,13126
322,Tuesday,1,November,3197
323,Tuesday,1,December,14496
324,Tuesday,2,January,7086
325,Tuesday,2,February,5055
326,Tuesday,2,April,12340
327,Tuesday,2,May,8128
328,Tuesday,2,June,10618
329,Tuesday,2,July,12908
330,Tuesday,2,August,5833
331,Tuesday,2,September,4514
332,Tuesday,2,October,7951
333,Tuesday,2,December,4473
334,Tuesday,3,January,4728
335,Tuesday,3,February,3966
336,Tuesday,3,March,12375
337,Tuesday,3,April,8797
338,Tuesday,3,May,5965
339,Tuesday,3,June,4745
340,Tuesday,3,July,8046
341,Tuesday,3,September,11936
342,Tuesday,3,October,6709
343,Tuesday,3,November,13457
344,Tuesday,3,December,12328
345,Tuesday,4,February,11321
346,Tuesday,4,March,4020
347,Tuesday,4,April,6012
348,Tuesday,4,June,12044
349,Tuesday,4,July,7314
350,Tuesday,4,August,12768
351,Tuesday,4,September,7662
352,Tuesday,4,October,5767
353,Tuesday,4,November,3866
354,Tuesday,4,December,7714
355,Tuesday,5,January,12639
356,Tuesday,5,February,9915
357,Tuesday,5,March,10666
358,Tuesday,5,April,4955
359,Tuesday,5,May,11183
360,Tuesday,5,June,7557
361,Tuesday,5,July,5568
362,Tuesday,5,August,3908
363,Tuesday,5,September,6556
364,Tuesday,5,November,11872
365,Tuesday,5,December,6761
366,Tuesday,6,January,1923
367,Tuesday,6,February,6122
368,Tuesday,6,March,6678
369,Tuesday,6,May,4130
370,Tuesday,6,June,6606
371,Tuesday,6,August,12219
372,Tuesday,6,September,4927
373,Tuesday,6,October,11894
374,Tuesday,6,November,7152
375,Tuesday,6,December,3945
376,Tuesday,7,January,11695
377,Tuesday,7,February,4524
378,Tuesday,7,March,5063
379,Tuesday,7,April,7485
380,Tuesday,7,May,11153
381,Tuesday,7,June,4587
382,Tuesday,7,July,10501
383,Tuesday,7,August,6445
384,Tuesday,7,October,3030
385,Tuesday,7,November,5906
386,Tuesday,8,January,8560
387,Tuesday,8,March,3991
388,Tuesday,8,April,2809
389,Tuesday,8,May,6298
390,Tuesday,8,July,3079
391,Tuesday,8,August,5519
392,Tuesday,8,September,10017
393,Tuesday,8,October,9680
394,Tuesday,8,November,4040
395,Tuesday,8,December,6424
396,Tuesday,9,January,4948
397,Tuesday,9,February,3062
398,Tuesday,9,April,8549
399,Tuesday,9,May,5006
400,Tuesday,9,June,8406
401,Tuesday,9,July,8945
402,Tuesday,9,August,3893
403,Tuesday,9,September,2857
404,Tuesday,9,October,5762
405,Tuesday,9,December,3374
406,Tuesday,10,January,4777
407,Tuesday,10,February,3947
408,Tuesday,10,March,10691
409,Tuesday,10,April,6484
410,Tuesday,10,May,4395
411,Tuesday,10,June,4166
412,Tuesday,10,July,6034
413,Tuesday,10,September,11061
414,Tuesday,10,October,6179
415,Tuesday,10,November,10831
416,Tuesday,10,December,11319
417,Tuesday,11,February,9838
418,Tuesday,11,March,3487
419,Tuesday,11,April,5308
420,Tuesday,11,June,9822
421,Tuesday,11,July,5478
422,Tuesday,11,August,10265
423,Tuesday,11,September,5859
424,Tuesday,11,October,4202
425,Tuesday,11,November,3220
426,Tuesday,11,December,9979
427,Tuesday,12,January,10171
428,Tuesday,12,February,7982
429,Tuesday,12,March,8930
430,Tuesday,12,April,3798
431,Tuesday,12,May,8004
432,Tuesday,12,June,6782
433,Tuesday,12,July,4154
434,Tuesday,12,August,3267
435,Tuesday,12,September,5462
436,Tuesday,12,November,8793
437,Tuesday,12,December,5569
438,Tuesday,13,January,2840
439,Tuesday,13,February,4744
440,Tuesday,13,March,5157
441,Tuesday,13,May,3082
442,Tuesday,13,June,5032
443,Tuesday,13,August,8259
444,Tuesday,13,September,3632
445,Tuesday,13,October,11205
446,Tuesday,13,November,5573
447,Tuesday,13,December,4126
448,Tuesday,14,January,8033
449,Tuesday,14,February,4025
450,Tuesday,14,March,4371
451,Tuesday,14,April,6981
452,Tuesday,14,May,8225
453,Tuesday,14,June,3431
454,Tuesday,14,July,9137
455,Tuesday,14,August,5532
456,Tuesday,14,October,2751
457,Tuesday,14,November,4709
